Year,RecreationVisitors,TotalRecreationVisitors
1919,1814,"152,502,052"
1920,3692,"152,502,052"
1921,2937,"152,502,052"
1922,4109,"152,502,052"
1923,6408,"152,502,052"
1924,8400,"152,502,052"
1925,16817,"152,502,052"
1926,21964,"152,502,052"
1927,24303,"152,502,052"
1928,30016,"152,502,052"
1929,33383,"152,502,052"
1930,55297,"152,502,052"
1931,59186,"152,502,052"
1932,51650,"152,502,052"
1933,48763,"152,502,052"
1934,68801,"152,502,052"
1935,97280,"152,502,052"
1936,124393,"152,502,052"
1937,137404,"152,502,052"
1938,149075,"152,502,052"
1939,158063,"152,502,052"
1940,165029,"152,502,052"
1941,192805,"152,502,052"
1942,68797,"152,502,052"
1943,44089,"152,502,052"
1944,42243,"152,502,052"
1945,78280,"152,502,052"
1946,212280,"152,502,052"
1947,273953,"152,502,052"
1948,297571,"152,502,052"
1949,307881,"152,502,052"
1950,323402,"152,502,052"
1951,331079,"152,502,052"
1952,352921,"152,502,052"
1953,389445,"152,502,052"
1954,416800,"152,502,052"
1955,406800,"152,502,052"
1956,421200,"152,502,052"
1957,525100,"152,502,052"
1958,590700,"152,502,052"
1959,585000,"152,502,052"
1960,575800,"152,502,052"
1961,604700,"152,502,052"
1962,622100,"152,502,052"
1963,681100,"152,502,052"
1964,705200,"152,502,052"
1965,763600,"152,502,052"
1966,815200,"152,502,052"
1967,788400,"152,502,052"
1968,877100,"152,502,052"
1969,904300,"152,502,052"
1970,903600,"152,502,052"
1971,897000,"152,502,052"
1972,889417,"152,502,052"
1973,993800,"152,502,052"
1974,859300,"152,502,052"
1975,1055200,"152,502,052"
1976,1090000,"152,502,052"
1977,1105900,"152,502,052"
1978,1193212,"152,502,052"
1979,1040528,"152,502,052"
1980,1123846,"152,502,052"
1981,1288808,"152,502,052"
1982,1246290,"152,502,052"
1983,1273030,"152,502,052"
1984,1377254,"152,502,052"
1985,1503272,"152,502,052"
1986,1670503,"152,502,052"
1987,1777619,"152,502,052"
1988,1948332,"152,502,052"
1989,1998856,"152,502,052"
1990,2102400,"152,502,052"
1991,2236997,"152,502,052"
1992,2390626,"152,502,052"
1993,2392580,"152,502,052"
1994,2270871,"152,502,052"
1995,2430162,"152,502,052"
1996,2498001,"152,502,052"
1997,2445534,"152,502,052"
1998,2370048,"152,502,052"
1999,2449664,"152,502,052"
2000,2432348,"152,502,052"
2001,2217779,"152,502,052"
2002,2592545,"152,502,052"
2003,2458792,"152,502,052"
2004,2677342,"152,502,052"
2005,2586665,"152,502,052"
2006,2567350,"152,502,052"
2007,2657281,"152,502,052"
2008,2690154,"152,502,052"
2009,2735402,"152,502,052"
2010,2665972,"152,502,052"
2011,2825505,"152,502,052"
2012,2973607,"152,502,052"
2013,2807387,"152,502,052"
2014,3189696,"152,502,052"
2015,3648846,"152,502,052"
2016,4295127,"152,502,052"
2017,4504812,"152,502,052"
2018,4320033,"152,502,052"
2019,4488268,"152,502,052"
2020,3591254,"152,502,052"
2021,5039835,"152,502,052"
2022,4692417,"152,502,052"
2023,4623238,"152,502,052"
2024,4946592,"152,502,052"
2025,4984525,"152,502,052"
